class,filename
0,tumor_043
0,tumor_008
1,normal_105
1,test_006
1,normal_079
1,normal_153
1,test_032
1,test_093
0,tumor_021
1,normal_143
1,normal_159
1,test_056
0,test_084
0,tumor_032
1,test_020
0,test_082
1,normal_142
1,normal_075
1,normal_133
0,tumor_055
0,tumor_042
1,normal_091
1,test_054
0,tumor_026
0,tumor_098
1,test_115
1,normal_084
1,normal_147
1,normal_003
1,test_050
1,test_127
1,normal_156
1,normal_009
0,tumor_079
1,normal_155
1,normal_027
1,normal_104
0,test_075
0,tumor_095
1,test_057
0,tumor_053
1,test_095
0,tumor_086
0,test_105
0,test_013
0,test_026
0,tumor_070
0,tumor_030
0,tumor_036
1,normal_124
1,normal_134
1,normal_122
1,test_072
1,test_119
1,test_007
0,test_061
0,tumor_076
1,test_053
1,test_081
0,test_094
0,tumor_019
1,normal_141
1,test_114
0,tumor_105
0,tumor_010
1,normal_036
1,test_039
0,tumor_006
0,tumor_033
0,tumor_028
0,test_002
1,normal_042
0,test_011
1,normal_028
0,tumor_060
0,test_117
1,normal_070
0,test_099
1,test_078
0,tumor_029
1,normal_121
0,test_066
0,test_029
0,tumor_057
0,tumor_089
1,normal_158
0,tumor_101
1,test_130
1,normal_082
0,tumor_004
1,normal_157
0,test_122
0,tumor_044
1,test_059
1,test_112
1,normal_031
1,normal_106
1,normal_019
1,normal_062
0,tumor_061
1,normal_008
0,test_008
1,normal_024
1,normal_078
0,tumor_091
1,test_128
0,tumor_073
1,normal_054
0,tumor_092
0,tumor_097
1,test_086
1,normal_016
1,test_091
1,test_076
0,tumor_080
1,normal_066
1,test_034
1,normal_129
0,tumor_081
1,normal_080
1,normal_037
0,tumor_002
0,tumor_066
0,test_065
1,test_045
1,test_028
0,tumor_096
0,test_102
1,test_070
1,test_014
1,normal_137
0,test_064
0,tumor_064
0,tumor_085
0,tumor_094
1,normal_006
1,normal_093
0,tumor_045
0,tumor_093
1,normal_136
1,normal_087
1,test_125
0,tumor_031
1,test_123
0,tumor_050
0,test_046
1,test_058
0,tumor_071
1,test_118
1,test_009
1,normal_074
1,test_043
0,tumor_084
1,normal_125
0,tumor_003
1,normal_117
0,tumor_068
0,tumor_063
1,normal_154
1,normal_146
1,normal_119
1,normal_160
1,test_037
1,normal_049
1,normal_002
1,test_018
0,test_033
0,test_048
0,tumor_007
1,test_096
1,normal_044
1,normal_035
1,normal_090
0,tumor_001
0,test_121
1,test_088
1,normal_128
0,tumor_014
0,tumor_027
1,normal_098
0,tumor_051
1,normal_012
1,test_055
1,normal_130
1,normal_045
0,tumor_023
0,test_052
1,test_098
0,test_038
1,test_015
1,normal_081
1,test_101
0,test_092
1,test_080
1,normal_015
1,normal_013
0,test_016
0,tumor_059
1,test_107
1,normal_071
0,test_004
1,normal_114
1,normal_030
0,tumor_082
0,tumor_024
1,normal_094
1,test_003
1,normal_110
1,test_019
0,tumor_054
1,test_005
0,test_110
0,tumor_005
1,normal_083
1,normal_017
0,test_051
1,normal_135
0,test_113
0,tumor_067
1,test_035
0,test_069
0,tumor_018
1,normal_149
0,test_108
1,test_041
1,normal_085
0,tumor_065
1,normal_131
1,test_106
1,normal_041
1,test_077
1,test_060
0,test_104
1,normal_115
1,normal_058
1,normal_076
0,test_001
0,test_010
1,normal_120
0,tumor_040
0,tumor_100
1,normal_123
0,tumor_048
0,tumor_104
0,tumor_012
0,tumor_034
1,normal_053
1,test_025
1,test_017
1,normal_112
0,test_040
0,test_074
0,tumor_009
1,normal_043
1,test_085
1,normal_152
0,tumor_087
0,tumor_017
1,normal_055
1,normal_059
1,test_111
0,tumor_111
1,normal_088
0,tumor_049
0,tumor_047
0,tumor_083
1,normal_107
1,normal_068
0,tumor_058
0,test_097
0,test_027
1,normal_067
1,test_042
1,test_103
0,tumor_035
0,test_116
1,normal_101
0,tumor_039
0,tumor_110
1,normal_018
0,tumor_088
0,test_073
