class,filename
1,normal_064
1,test_023
1,normal_147
0,tumor_098
1,normal_083
1,test_081
1,normal_052
1,normal_103
1,test_041
1,test_043
1,normal_010
0,tumor_033
1,normal_069
0,tumor_078
1,test_130
0,test_102
0,test_029
1,test_129
1,normal_124
1,test_036
0,tumor_106
1,normal_001
1,normal_058
0,test_004
0,tumor_064
1,test_017
0,tumor_028
1,normal_025
1,normal_032
0,tumor_086
0,tumor_006
0,tumor_077
1,normal_159
0,tumor_053
1,normal_107
0,test_094
1,test_047
0,test_065
0,test_066
0,tumor_046
1,test_100
0,tumor_001
1,normal_045
0,test_038
1,normal_122
0,tumor_070
0,tumor_044
1,normal_126
1,normal_110
1,test_015
0,tumor_017
1,test_093
1,normal_104
0,test_073
1,test_103
1,normal_146
0,test_113
0,tumor_025
1,normal_115
0,test_084
0,tumor_065
0,tumor_002
1,normal_089
1,normal_074
1,normal_023
1,normal_007
1,normal_138
0,tumor_039
0,tumor_036
0,test_021
1,normal_027
0,test_011
1,normal_022
1,test_044
0,test_117
1,test_031
0,test_099
1,normal_139
0,tumor_037
1,test_126
0,tumor_027
1,normal_060
0,tumor_048
0,tumor_099
1,normal_118
0,tumor_109
1,normal_061
1,normal_049
0,tumor_015
1,normal_136
0,tumor_011
0,tumor_047
0,tumor_032
1,normal_121
1,normal_020
1,normal_040
0,tumor_071
1,normal_009
0,test_026
1,normal_021
1,test_124
0,tumor_102
0,test_013
0,tumor_075
0,tumor_103
0,tumor_097
1,test_120
1,normal_015
1,test_078
1,normal_145
0,tumor_080
1,normal_046
1,test_012
0,tumor_081
1,normal_029
1,test_127
0,tumor_060
1,test_091
1,test_022
1,test_006
0,tumor_107
0,test_121
1,normal_090
1,test_062
1,normal_114
1,test_125
0,test_064
1,test_018
0,tumor_072
0,tumor_090
0,tumor_105
1,normal_008
1,normal_075
0,tumor_050
0,tumor_104
1,test_112
1,normal_071
1,test_057
0,tumor_038
1,test_119
0,tumor_054
0,test_046
1,test_039
0,tumor_074
1,normal_148
0,tumor_066
1,normal_051
1,test_089
0,tumor_089
1,normal_108
0,tumor_014
1,normal_100
0,tumor_073
1,test_063
1,normal_127
1,normal_120
1,normal_101
1,normal_140
1,normal_151
1,normal_038
1,normal_006
1,normal_154
0,test_033
0,test_048
0,tumor_018
1,test_085
1,normal_034
1,normal_026
1,normal_073
0,tumor_013
0,tumor_009
1,test_076
1,normal_109
0,tumor_020
1,normal_153
1,normal_079
0,tumor_056
1,normal_011
1,test_028
1,normal_111
1,normal_035
0,tumor_010
0,test_052
1,test_087
0,test_068
1,normal_160
1,normal_063
0,test_104
1,test_060
1,normal_014
1,normal_012
0,test_030
0,tumor_067
1,test_098
1,normal_050
0,tumor_040
1,normal_098
1,normal_024
0,tumor_083
0,tumor_012
1,normal_077
1,normal_149
1,normal_095
1,test_009
0,tumor_062
1,normal_150
0,test_110
0,tumor_016
1,normal_065
1,normal_017
0,tumor_063
1,normal_116
0,tumor_005
0,tumor_008
1,test_019
0,test_079
0,tumor_022
1,normal_132
0,tumor_004
1,test_024
1,normal_070
0,tumor_059
1,normal_113
1,test_111
1,normal_031
1,test_067
1,test_059
0,test_122
1,normal_099
1,normal_042
1,normal_055
0,test_002
0,test_010
1,normal_102
0,tumor_030
0,tumor_108
1,normal_106
0,tumor_035
0,tumor_110
0,tumor_023
0,tumor_041
1,normal_039
1,test_014
1,test_003
1,normal_097
0,test_069
0,test_074
0,tumor_019
1,normal_033
1,test_083
1,normal_133
0,tumor_094
0,test_071
0,tumor_024
1,test_054
0,tumor_049
1,normal_041
1,normal_043
1,test_118
1,normal_005
1,normal_072
0,tumor_057
0,tumor_052
0,tumor_088
1,normal_092
1,normal_048
0,tumor_069
0,test_097
0,test_051
1,normal_047
1,test_025
1,test_109
0,tumor_043
0,test_116
1,normal_081
0,tumor_045
1,normal_004
1,normal_019
0,tumor_096
0,test_090
