class,filename,split
0,4b2dd194-703b-4c2e-bcbd-39a0e7056834,train
1,d5b122ba-6905-4167-9f55-501efe51b3fe,train
0,2eb54d74-3b03-4f32-aedc-7db6288e8f45,train
0,7cb0ceab-6b36-4a61-b178-47621ffb8d98,train
1,34389bdd-bc1e-433c-ab19-826787f5a938,val
0,91caaa1f-fb8c-4547-952c-eef71aed7de3,train
0,c85dcd65-7b17-451a-b377-d3dbe504f530,val
0,55256b33-3109-4771-9ad9-e57e2e708287,train
2,4e4546b6-fbdb-4c03-96a3-f71ba318c098,train
1,314ae426-9fef-4a50-aee9-e533f6d1f0f2,train
0,5b6cea6a-9d28-43f2-b0b0-b91f10a3c26c,train
0,1a1c6f9a-1cb4-4786-a7e4-1d5867788736,train
2,0266cf4d-1d71-43e2-846b-6a1f96ca4a01,train
0,4d76976e-4a56-4531-b9c4-53b093fb8944,train
0,325fc50c-b2e9-40d9-b34d-bcb9637f7c19,train
2,82583ba0-73b8-4ce2-a8f5-912566b8b92b,train
2,04ea6765-f97b-45a3-9c50-7882b2edf61a,train
2,35bc77a6-af3f-44e4-abb9-6ed1932bd3e4,train
0,0a2a3ea8-fe81-42e6-b313-e2d08d126dcb,train
0,4247f896-d7b3-4e9f-a428-912963a840e2,train
2,649414d6-e04e-41ac-9eab-9e090a9b0168,train
0,d4e286dc-99eb-429c-b949-4f89542d65e8,train
1,16a0b675-b25a-4ba8-98b4-7dc2dc1c9d98,train
2,8bad070b-5d83-4148-b773-c6f579c8bb3f,train
0,561efaa0-1e9b-497d-85b9-f4cd0292e989,train
2,37a945f6-93dc-47b9-b87f-917f41e4f1e1,val
0,265b83e2-6581-4b9e-ae0c-9ac7d1ee7a66,train
0,14deef3d-fd0a-4c15-9460-8c4d793da739,train
1,cd1a69a2-4571-4015-bd0f-a7c1735ab1fb,train
0,45ac9d6a-ce83-4057-9d73-a351a8c1b77e,val
0,525f52c4-3507-4ad8-80c9-f2bb063a9886,train
0,5d58bdea-d297-4b97-afbc-cca15b83d248,val
0,8f31752c-10ee-4327-8f46-da0dada81fde,train
0,4ca5eeb3-cea8-4152-9833-c9e99a404f92,val
2,9ecbfc47-6332-46ce-b64a-d97298afd44f,train
0,4d2d0510-8f86-4498-aadd-e72c8d4f0311,train
0,43644567-1447-49e6-a286-bcf93170d140,train
0,4cda64e1-1aee-4e25-93ab-504a531d15ac,train
2,70892fd6-dde1-4c2c-b57f-6c28f3e06a4b,train
