class,filename,split
0,4d47189e-a279-4ef4-b1fb-326b71016420,train
1,cd1a69a2-4571-4015-bd0f-a7c1735ab1fb,train
0,325fc50c-b2e9-40d9-b34d-bcb9637f7c19,train
0,81c38a4f-9d25-4ade-81b7-89b7658ad6d6,train
1,33adb0a7-144a-4771-a684-195d4cc611dc,val
0,93c2ddff-271c-4358-aa05-32d41ed36aaf,train
0,c9d8f282-46b7-4297-b7b8-e256091ea6f2,val
0,5d58bdea-d297-4b97-afbc-cca15b83d248,train
2,535c15a9-af23-4f58-b2ca-2b8b6702e7a5,train
1,314ae426-9fef-4a50-aee9-e533f6d1f0f2,train
0,66688d03-5f10-4724-bc5c-72b1d9a96e7a,train
0,1a3424c5-6f70-4020-9017-891b3e5224fa,train
2,04584065-c1eb-4ea4-a3ac-a48853813f2a,train
0,5330a9a0-c604-4720-ab60-69b6771d1ba2,train
0,35c56040-2fcf-4b84-8773-9fba0d308f0f,train
2,82368a7f-fe2c-4d8b-b112-0744793bd85d,train
2,051429db-95a1-417c-ac09-de4efe0b9fe1,train
2,3ef0c5d0-f7df-498c-9536-66dc00bbabd6,train
0,0c9c95ac-7d67-4740-9cd6-1f66c66c1dac,train
0,4853e4a7-ff8d-4aa2-80e1-8ef953222a0c,train
2,64b48295-0938-4ca6-802f-675ae3d9fced,train
0,d4e286dc-99eb-429c-b949-4f89542d65e8,train
1,16a0b675-b25a-4ba8-98b4-7dc2dc1c9d98,train
2,882fb9b9-9f42-4d5b-bb69-eae9ad62f4ca,train
0,62f802ec-84a6-4789-8b5e-c698d9cd32eb,train
2,21f555e9-c407-420e-9b9d-a63bfc23e6de,val
0,283df2c0-c487-4c8c-8b31-c063f11fb18a,train
0,14deef3d-fd0a-4c15-9460-8c4d793da739,train
1,c8a78305-ea04-4ad3-9492-561df1b3d402,train
0,49d830aa-0ab3-4060-9965-cbf775cd02b5,val
0,5bc9c1d0-f58d-447b-9812-b55544c85a2a,train
0,69690e94-f54d-478e-a8e0-f539b6917c58,val
0,935bfdac-fee1-44c4-ae2f-d4629ae7792e,train
0,4fca97c6-66c6-479b-a22c-fbb5d7866ed6,val
2,9ade332a-d3dd-47fe-ab39-b3160e0f3a09,train
0,525f52c4-3507-4ad8-80c9-f2bb063a9886,train
0,48af9702-466a-4888-bb16-0b8cf89048cc,train
0,5115cfbc-b07d-47a6-84c0-db69e01286d4,train
2,72d69fa4-0178-442e-8c4c-18c4efc1d780,train
0,d852d56e-0321-4a33-be96-434ebf320e8c,train
1,8e0a7189-10ef-4830-997f-bca955f9aec6,train
1,2cd446be-9d6b-49b0-b1d7-3e257c4fdcb2,train
0,91caaa1f-fb8c-4547-952c-eef71aed7de3,train
1,b5491ed3-9e8d-4c6b-9d8d-bc9ada7b4d6f,train
2,51df2002-ccc7-436b-aaae-8a464833eed6,train
0,20ddf02c-9405-4647-a311-8d6f16acc619,train
0,71d0c34b-4d4b-4ab5-8c7e-266484024ed9,train
0,dd7df964-0ff2-4b5c-a540-6795590357f4,val
1,387b0dfc-b966-403c-a49c-177798660ce1,train
0,4e1d107e-a35f-4762-9d58-4358dbec606b,train
0,cf3bcb23-8efb-49ee-a423-2e1748f55469,train
0,c3325388-e727-43f5-ad06-b78fd966d02c,train
1,a29e2989-b662-4287-96f5-7d76ca3c5b08,train
1,a98752e8-6877-4cd6-a2db-4b7a4e72d9e4,val
0,6fe56db2-4974-478a-a690-b33eb5e09acc,train
0,0281d58a-f524-4263-abec-743e8b4398ff,train
0,908284ed-89be-4877-9aac-a1173a06ba1a,train
0,c5262488-c21d-4b1b-ae96-d22b3ae05628,train
0,06647aad-6c07-4136-82e4-d597d526c001,train
0,c2d98513-2d9d-4867-8129-929ff164b203,train
2,0ec744ca-985b-4f19-96bf-3731af5ee77d,train
0,c63fce9f-f378-4ec5-9908-a9fde0a3de92,train
0,9892b6c1-bb4f-4e9c-a0b6-6b38aef3ff07,train
2,3cb51614-8127-4ef1-b34e-18e21b645624,train
1,6ee84288-0e2a-4cb3-8bda-54cfc162a9c8,train
0,8bec7ffa-e8e2-46bf-b890-796c57ed019d,train
0,9bc0e5b8-4656-472a-9e55-7f689133bbc0,train
2,a1e241c5-a80e-4a23-84b0-ed901052d1cd,train
2,0d2b316b-c94f-4aac-b201-06ed812fde03,train
0,9f9074c2-13a0-4322-bd03-14b198753c3b,train
0,05ad3942-fd42-448a-ad45-6d46d46f8388,train
2,649414d6-e04e-41ac-9eab-9e090a9b0168,train
1,bc88826e-de23-4936-adbf-1f671f2708e9,train
0,ae5502f7-8a58-457b-aaf9-421fb8a54f6b,train
0,6fd668ba-08da-4337-b6b6-f71ef700dd58,train
0,77009afa-dba7-4706-8f5e-7ae0f56c9330,train
0,cc78ab7c-a334-4dfb-bbeb-5bcd6947cbb6,train
0,ce4c71c7-7f70-462c-a509-de787fccadb3,train
0,1f1ee7e4-6776-4f73-8c00-12b8f3138fb2,train
0,7da77406-1d4d-4471-ba1a-e8f081218541,val
0,7c190fba-6558-412a-acb5-959b4a10a8cf,train
0,c478e7e1-f7ae-493c-a787-06968b964d43,train
0,d78367a7-ee59-4096-b7e0-0fb6e61caf10,train
0,3af1b9b2-0b97-4890-880e-11fab2516893,train
0,a962e608-7248-4d14-81ec-9d324087925d,train
0,91159f6a-bb31-407e-98fc-cdc028ec4d1e,val
0,cb9faee5-5324-4baf-81ce-afd7762c799b,train
0,3abfee49-8825-4bb3-aeba-72621817886f,train
0,11bc5de7-4ceb-4141-b1c7-66200c203838,train
0,73e759e9-8828-4f71-b3ce-bced39fa8ec3,val
2,7627c008-aac5-495b-b9bb-76d5ff0222ee,train
2,58e80dae-7e92-4269-a49b-267dd9272607,train
1,b6e6bbc9-4e67-490c-af04-bea085a51286,train
1,42aa88c6-e89e-4af5-9226-6b8ebc728cb0,train
1,ee743904-fcc2-4d5e-9a08-e56f7e28d049,train
2,6e10bc6e-9f81-4e42-af5a-54e9e0ed3b7b,train
2,29861382-0da3-4838-a678-d3f08dabc1f4,train
2,23326b4b-edd2-44b3-b052-5597d1064f19,train
0,1789b537-9b01-407c-bccf-570bfea4b868,train
0,b468381b-93d0-436c-95fe-dce581e733e8,train
2,479643e1-096d-4c88-8ff5-928cc14b68bd,train
0,81710f13-5cdb-4634-ab2a-1ccd0e3963f1,val
0,bed7e2f4-6290-4d4f-af2c-c1887eaaaf34,train
